time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
7.4833,0.01667,12.03077,0,-4.91541,18.05498,-149.4192,-11.37267,3.03828,3.54513,3.03828,3.54513,-1.00306,-1.00306,-0.1058,-0.1058,9.20643,8.06028,1.32919,1.23389,3558.509,3361.322,343.9763,336.1018,3558.509,3361.322,343.9763,336.1018,3580.699,3384.237,343.9763,336.1018,0,0,0,0,0,0,0,0,-177.6719,28.25267,-149.4192
7.49997,0.01667,11.91138,0,-1.64014,14.65294,-176.3466,-9.30965,3.07003,3.49349,3.07003,3.49349,-0.82285,-0.82285,-0.07321,-0.07321,9.11088,8.43061,0.91564,0.86044,3869.492,3987.967,295.4457,286.7147,3869.492,3987.967,295.4457,286.7147,3879.662,3998.088,295.4457,286.7147,0,0,0,0,0,0,0,0,-200.5314,24.18485,-176.3466
7.51664,0.01667,11.79177,0,0,11.00814,-195.3888,-7.01991,3.10075,3.43263,3.10075,3.43263,-0.62551,-0.62551,-0.038,-0.038,7.74102,7.37689,0.47316,0.45065,4053.146,4400.336,244.2514,233.9731,4053.146,4400.336,244.2514,233.9731,4053.146,4400.336,244.2514,233.9731,0,0,0,0,0,0,0,0,-215.2558,19.86701,-195.3888
7.5333,0.01667,11.69601,0,0,7.4239,-192.8602,-4.60686,3.13219,3.36935,3.13219,3.36935,-0.42148,-0.42148,-0.00165,-0.00165,5.2095,5.0321,0.02049,0.01979,3882.046,4316.454,197.1086,185.6934,3882.046,4316.454,197.1086,185.6934,3882.046,4316.454,197.1086,185.6934,0,0,0,0,0,0,0,0,-208.763,15.90285,-192.8602
7.54997,0.01667,11.62375,0,0,4.31806,-165.3395,-2.32753,3.16069,3.31025,3.16069,3.31025,-0.23212,-0.23212,0.03264,0.03264,2.86254,2.80045,-0.40286,-0.39411,3291.744,3692.921,156.6406,144.6118,3291.744,3692.921,156.6406,144.6118,3291.744,3692.921,156.6406,144.6118,0,0,0,0,0,0,0,0,-177.8545,12.51501,-165.3395
7.56664,0.01667,11.56723,0,0,1.91379,-127.6559,-0.43166,3.18141,3.25959,3.18141,3.25959,-0.07686,-0.07686,0.06154,0.06154,0.94563,0.93484,-0.75723,-0.74859,2534.581,2839.386,118.4503,102.6328,2534.581,2839.386,118.4503,102.6328,2534.581,2839.386,118.4503,102.6328,0,0,0,0,0,0,0,0,-136.8404,9.18452,-127.6559
7.5833,0.01667,11.518,0,0,0.14963,-95.62617,1.00584,3.19322,3.21807,3.19322,3.21807,0.03956,0.03956,0.08356,0.08356,-0.48598,-0.48421,-1.02627,-1.02253,1881.438,2098.926,81.17378,56.70899,1881.438,2098.926,81.17378,56.70899,1881.438,2098.926,81.17378,56.70899,0,0,0,0,0,0,0,0,-101.3543,5.7281,-95.62617
7.59997,0.01667,11.47074,0,0,-1.10105,-68.88723,2.04963,3.19775,3.18392,3.19775,3.18392,0.1235,0.1235,0.09901,0.09901,-1.51569,-1.51876,-1.21519,-1.21766,1331.019,1462.146,45.42266,8.41798,1331.019,1462.146,45.42266,8.41798,1331.019,1462.146,45.42266,8.41798,0,0,0,0,0,0,0,0,-71.12395,2.23672,-68.88723
7.61664,0.01667,11.42237,0,0,-1.89626,-44.25795,2.74226,3.19608,3.15598,3.19608,3.15598,0.1791,0.1791,0.10811,0.10811,-2.19804,-2.211,-1.32721,-1.33504,834.0096,861.639,12.3624,-38.37577,834.0096,861.639,12.3624,-38.37577,834.0096,861.639,12.3624,-38.37577,0,0,0,0,0,0,0,0,-43.17727,-1.08068,-44.25795
7.6333,0.01667,11.37146,0,0,-2.29244,-22.44313,3.11,3.18888,3.13361,3.18888,3.13361,0.20895,0.20895,0.11109,0.11109,-2.56653,-2.58739,-1.36523,-1.37634,401.257,323.7816,-16.70142,-79.12787,401.257,323.7816,-16.70142,-79.12787,401.257,323.7816,-16.70142,-79.12787,0,0,0,0,0,0,0,0,-18.46207,-3.98106,-22.44313
7.64997,0.01667,11.31799,0,0,-2.36621,-4.81632,3.19501,3.17703,3.11596,3.17703,3.11596,0.21672,0.21672,0.10862,0.10862,-2.66656,-2.69051,-1.33714,-1.34916,52.89508,-109.6419,-40.57473,-110.1426,52.89508,-109.6419,-40.57473,-110.1426,52.89508,-109.6419,-40.57473,-110.1426,0,0,0,0,0,0,0,0,1.44498,-6.26129,-4.81632
7.66664,0.01667,11.26283,0,0,-2.20804,7.81075,3.05758,3.16164,3.10196,3.16164,3.10196,0.20743,0.20743,0.10179,0.10179,-2.55816,-2.58061,-1.25595,-1.26698,-199.7449,-413.7103,-58.41108,-129.5859,-199.7449,-413.7103,-58.41108,-129.5859,-199.7449,-413.7103,-58.41108,-129.5859,0,0,0,0,0,0,0,0,15.62076,-7.81001,7.81075
7.6833,0.01667,11.20707,0,0,-1.908,15.5044,2.76695,3.14393,3.09044,3.14393,3.09044,0.18663,0.18663,0.09195,0.09195,-2.30791,-2.32604,-1.13758,-1.14653,-358.7509,-588.365,-69.74988,-137.5653,-358.7509,-588.365,-69.74988,-137.5653,-358.7509,-588.365,-69.74988,-137.5653,0,0,0,0,0,0,0,0,24.11695,-8.61255,15.5044
7.69997,0.01667,11.15161,0,0,-1.54464,18.9129,2.39036,3.12499,3.08031,3.12499,3.08031,0.15958,0.15958,0.08047,0.08047,-1.97914,-1.99212,-0.9983,-1.00485,-434.9897,-652.3441,-75.11721,-136.0963,-434.9897,-652.3441,-75.11721,-136.0963,-434.9897,-652.3441,-75.11721,-136.0963,0,0,0,0,0,0,0,0,27.6874,-8.7745,18.9129
7.71664,0.01667,11.09696,0,0,-1.17733,19.14241,1.98482,3.10574,3.07065,3.10574,3.07065,0.13063,0.13063,0.06851,0.06851,-1.62492,-1.63328,-0.85229,-0.85668,-447.4315,-636.0091,-75.45399,-127.8485,-447.4315,-636.0091,-75.45399,-127.8485,-447.4315,-636.0091,-75.45399,-127.8485,0,0,0,0,0,0,0,0,27.58826,-8.44585,19.14241
7.7333,0.01667,11.04326,0,0,-0.84377,17.38939,1.5919,3.08679,3.06083,3.08679,3.06083,0.10288,0.10288,0.05694,0.05694,-1.28345,-1.28833,-0.71037,-0.71308,-417.519,-571.3374,-71.99271,-115.5328,-417.519,-571.3374,-71.99271,-115.5328,-417.519,-571.3374,-71.99271,-115.5328,0,0,0,0,0,0,0,0,25.17981,-7.79043,17.38939
7.74997,0.01667,10.99045,0,0,-0.56259,14.68257,1.23706,3.06849,3.05051,3.06849,3.05051,0.07816,0.07816,0.04633,0.04633,-0.97775,-0.98032,-0.57962,-0.58114,-364.7026,-485.0698,-66.02325,-101.4085,-364.7026,-485.0698,-66.02325,-101.4085,-364.7026,-485.0698,-66.02325,-101.4085,0,0,0,0,0,0,0,0,21.63824,-6.95567,14.68257
7.76664,0.01667,10.93837,0,0,-0.33843,11.75606,0.93218,3.05097,3.03952,3.05097,3.03952,0.05726,0.05726,0.03698,0.03698,-0.71808,-0.71929,-0.46376,-0.46453,-303.8419,-395.7078,-58.70222,-87.09679,-303.8419,-395.7078,-58.70222,-87.09679,-303.8419,-395.7078,-58.70222,-87.09679,0,0,0,0,0,0,0,0,17.81303,-6.05697,11.75606
7.7833,0.01667,10.88685,0,0,-0.16741,9.04497,0.67943,3.03424,3.02786,3.03424,3.02786,0.04023,0.04023,0.02895,0.02895,-0.50583,-0.5063,-0.36398,-0.36432,-244.5767,-313.8386,-50.94244,-73.60894,-244.5767,-313.8386,-50.94244,-73.60894,-244.5767,-313.8386,-50.94244,-73.60894,0,0,0,0,0,0,0,0,14.21924,-5.17427,9.04497
7.79997,0.01667,10.83576,0,0,-0.04157,6.75044,0.47521,3.0182,3.01563,3.0182,3.01563,0.02675,0.02675,0.0222,0.0222,-0.33711,-0.33724,-0.27983,-0.27993,-192.0678,-244.1107,-43.38295,-61.47696,-192.0678,-244.1107,-43.38295,-61.47696,-192.0678,-244.1107,-43.38295,-61.47696,0,0,0,0,0,0,0,0,11.10666,-4.35622,6.75044
7.81664,0.01667,10.78499,0,0,0.04815,4.92181,0.31314,3.00273,3.00292,3.00273,3.00292,0.01629,0.01629,0.01662,0.01662,-0.2057,-0.2057,-0.20989,-0.20989,-148.2897,-187.4583,-36.41573,-50.9037,-148.2897,-187.4583,-36.41573,-50.9037,-148.2897,-187.4583,-36.41573,-50.9037,0,0,0,0,0,0,0,0,8.54934,-3.62754,4.92181
